corp_code,corp_name,stock_code,rcept_no,rcept_dt,report_nm,market,subscription_start_dt,subscription_end_dt,listing_dt,offering_price_low,offering_price_high,offering_price_final,total_shares,total_amount,underwriter,status,updated_at
01565364,폴레드,,20260402100016,20260424,효력발생안내( 2026.4.2. 제출 증권신고서(지분증권) ),기타,,,,,,,,,,청약예정,2026-05-06 00:06:22
01700587,이노스페이스,462350,20260408100024,20260423,효력발생안내( 2026.4.8. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
00230814,휴림에이텍,078590,20260420100015,20260420,정정신고서제출요구( 2026.04.07. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
01802928,코스모로보틱스,,20260330100001,20260420,효력발생안내( 2026.3.27. 제출 증권신고서(지분증권) ),기타,,,,,,,,,,청약예정,2026-05-06 00:06:22
00142713,형지I&C,011080,20260416100001,20260416,정정신고서제출요구( 2026.04.02. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
01784914,클로봇,466100,20260415100029,20260415,정정신고서제출요구( 2026.04.03. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
00162461,한화솔루션,009830,20260409100042,20260409,정정신고서제출요구( 2026.03.26. 제출 증권신고서(지분증권) ),KOSPI,,,,,,,,,,청약예정,2026-05-06 00:06:22
00105040,뉴인텍,012340,20260409100012,20260409,정정신고서제출요구( 2026.03.27. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
00367695,에이전트AI,060900,20260409100013,20260409,정정신고서제출요구( 2026.03.26. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
01397620,루닛,328130,20260324100013,20260408,효력발생안내( 2026.3.24. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
01444380,에이텀,355690,20260320100016,20260406,효력발생안내( 2026.3.20. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
00139889,SKC,011790,20260318100025,20260402,효력발생안내( 2026.3.18. 제출 증권신고서(지분증권) ),KOSPI,,,,,,,,,,청약예정,2026-05-06 00:06:22
01203659,이뮨온시아,424870,20260319100001,20260402,효력발생안내( 2026.3.18. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
01203659,이뮨온시아,424870,20260224100015,20260224,정정신고서제출요구( 2026.02.09. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
01444380,에이텀,355690,20260106100027,20260106,정정신고서제출요구( 2025.12.23. 제출 증권신고서(지분증권) ),KOSDAQ,,,,,,,,,,청약예정,2026-05-06 00:06:22
01596920,알지노믹스,476830,20251028000447,20251028,[기재정정]증권신고서(지분증권),KOSDAQ,20251124,20251125,,17000,22500,,2060000,,삼성증권,상장예정,2026-05-06 00:06:22
01344831,딥노이드,315640,20251028000355,20251028,[발행조건확정]증권신고서(지분증권),KOSDAQ,20251208,20251209,,,,,,,,상장예정,2026-05-06 00:06:22
01958111,메리츠제1호스팩,0088D0,20251028000346,20251028,증권신고서(지분증권),KOSDAQ,20251204,20251205,,,,,5500000,,,상장예정,2026-05-06 00:06:22
01786958,큐리오시스,494120,20251028000207,20251028,[기재정정]증권신고서(지분증권),KOSDAQ,20251104,20251105,,18000,22000,,1200000,,,상장예정,2026-05-06 00:06:22
01671285,쿼드메디슨,464490,20251029000308,20251029,[기재정정]증권신고서(지분증권),KOSDAQ,20251125,20251126,,12000,15000,,1700000,,"NH투자증권, 계약 체결",상장예정,2026-05-06 00:06:22
00683283,LS전선,,20251029000297,20251029,증권신고서(지분증권),기타,,,,,,,,,,청약예정,2026-05-06 00:06:22
01596920,알지노믹스,476830,20251029000278,20251029,[기재정정]증권신고서(지분증권),KOSDAQ,20251124,20251125,,17000,22500,,2060000,,"삼성증권, NH투자증권",상장예정,2026-05-06 00:06:22
01494118,노을,376930,20251029000171,20251029,[발행조건확정]증권신고서(지분증권),KOSDAQ,20251204,20251205,,,,,,,,상장예정,2026-05-06 00:06:22
00677486,그린광학,0015G0,20251030000396,20251030,[기재정정]증권신고서(지분증권),KOSDAQ,20251106,20251107,,14000,16000,,2000000,,신영증권,상장예정,2026-05-06 00:06:22
